year,predicted_emission
2025,54889.56439497288
2026,51979.359201616986
2027,51685.57995755943
2028,54106.81166430574
2029,54338.15137323672
2030,51547.07879582172
2031,51135.87989915498
2032,51017.814977648326
2033,50942.162480098516
2034,50684.67747252713
2035,50684.67747252713
2036,50811.05144623
2037,50811.05144623
2038,50501.90113679239
2039,48506.97538153593
2040,45398.15748571284
2041,45287.82596696721
2042,45109.20202775322
2043,44887.30529750371
2044,44770.90534103613
2045,44770.90534103613
2046,42248.211155955156
2047,41068.67840825435
2048,41068.67840825435
2049,41095.58410979326
2050,41095.58410979326
